date,day_index,day_of_week,is_weekend,month,seasonal_weight,weekend_weight,growth_weight,daily_demand,daily_sales,stockout_units,incoming_stock,stock_level,holding_cost,stockout_penalty,total_cost
2024-01-01,0,0,False,1,0.8,1.0,1.0,88,88,0,0,1412.0,2824.0,0.0,2824.0
2024-01-02,1,1,False,1,0.8,1.0,1.0003,91,91,0,0,1321.0,2642.0,0.0,2642.0
2024-01-03,2,2,False,1,0.8,1.0,1.0005,87,87,0,0,1234.0,2468.0,0.0,2468.0
2024-01-04,3,3,False,1,0.8,1.0,1.0008,68,68,0,0,1166.0,2332.0,0.0,2332.0
2024-01-05,4,4,False,1,0.8,1.0,1.0011,77,77,0,0,1089.0,2178.0,0.0,2178.0
2024-01-06,5,5,True,1,0.801,1.4,1.0014,117,117,0,0,972.0,1944.0,0.0,1944.0
2024-01-07,6,6,True,1,0.801,1.4,1.0016,111,111,0,0,861.0,1722.0,0.0,1722.0
2024-01-08,7,0,False,1,0.801,1.0,1.0019,82,82,0,0,779.0,1558.0,0.0,1558.0
2024-01-09,8,1,False,1,0.802,1.0,1.0022,90,90,0,0,689.0,1378.0,0.0,1378.0
2024-01-10,9,2,False,1,0.802,1.0,1.0025,93,93,0,0,596.0,1192.0,0.0,1192.0
2024-01-11,10,3,False,1,0.803,1.0,1.0027,80,80,0,0,516.0,1032.0,0.0,1032.0
2024-01-12,11,4,False,1,0.804,1.0,1.003,86,86,0,0,430.0,860.0,0.0,860.0
2024-01-13,12,5,True,1,0.804,1.4,1.0033,107,107,0,0,323.0,646.0,0.0,646.0
2024-01-14,13,6,True,1,0.805,1.4,1.0036,102,102,0,0,221.0,442.0,0.0,442.0
2024-01-15,14,0,False,1,0.806,1.0,1.0038,73,73,0,1400,1548.0,3096.0,0.0,3096.0
2024-01-16,15,1,False,1,0.807,1.0,1.0041,79,79,0,1400,2869.0,5738.0,0.0,5738.0
2024-01-17,16,2,False,1,0.808,1.0,1.0044,87,87,0,0,2782.0,5564.0,0.0,5564.0
2024-01-18,17,3,False,1,0.809,1.0,1.0047,91,91,0,2800,5491.0,10982.0,0.0,10982.0
2024-01-19,18,4,False,1,0.81,1.0,1.0049,78,78,0,1400,6813.0,13626.0,0.0,13626.0
2024-01-20,19,5,True,1,0.811,1.4,1.0052,120,120,0,1400,8093.0,16186.0,0.0,16186.0
2024-01-21,20,6,True,1,0.812,1.4,1.0055,104,104,0,0,7989.0,15978.0,0.0,15978.0
2024-01-22,21,0,False,1,0.813,1.0,1.0058,90,90,0,0,7899.0,15798.0,0.0,15798.0
2024-01-23,22,1,False,1,0.814,1.0,1.006,87,87,0,0,7812.0,15624.0,0.0,15624.0
2024-01-24,23,2,False,1,0.815,1.0,1.0063,81,81,0,0,7731.0,15462.0,0.0,15462.0
2024-01-25,24,3,False,1,0.817,1.0,1.0066,71,71,0,0,7660.0,15320.0,0.0,15320.0
2024-01-26,25,4,False,1,0.818,1.0,1.0068,87,87,0,0,7573.0,15146.0,0.0,15146.0
2024-01-27,26,5,True,1,0.82,1.4,1.0071,118,118,0,0,7455.0,14910.0,0.0,14910.0
2024-01-28,27,6,True,1,0.821,1.4,1.0074,120,120,0,0,7335.0,14670.0,0.0,14670.0
2024-01-29,28,0,False,1,0.823,1.0,1.0077,84,84,0,0,7251.0,14502.0,0.0,14502.0
2024-01-30,29,1,False,1,0.824,1.0,1.0079,75,75,0,0,7176.0,14352.0,0.0,14352.0
2024-01-31,30,2,False,1,0.826,1.0,1.0082,94,94,0,0,7082.0,14164.0,0.0,14164.0
2024-02-01,31,3,False,2,0.828,1.0,1.0085,65,65,0,0,7017.0,14034.0,0.0,14034.0
2024-02-02,32,4,False,2,0.83,1.0,1.0088,78,78,0,0,6939.0,13878.0,0.0,13878.0
2024-02-03,33,5,True,2,0.831,1.4,1.009,119,119,0,0,6820.0,13640.0,0.0,13640.0
2024-02-04,34,6,True,2,0.833,1.4,1.0093,123,123,0,0,6697.0,13394.0,0.0,13394.0
2024-02-05,35,0,False,2,0.835,1.0,1.0096,94,94,0,0,6603.0,13206.0,0.0,13206.0
2024-02-06,36,1,False,2,0.837,1.0,1.0099,91,91,0,0,6512.0,13024.0,0.0,13024.0
2024-02-07,37,2,False,2,0.839,1.0,1.0101,74,74,0,0,6438.0,12876.0,0.0,12876.0
2024-02-08,38,3,False,2,0.841,1.0,1.0104,74,74,0,0,6364.0,12728.0,0.0,12728.0
2024-02-09,39,4,False,2,0.843,1.0,1.0107,84,84,0,0,6280.0,12560.0,0.0,12560.0
2024-02-10,40,5,True,2,0.846,1.4,1.011,113,113,0,0,6167.0,12334.0,0.0,12334.0
2024-02-11,41,6,True,2,0.848,1.4,1.0112,116,116,0,0,6051.0,12102.0,0.0,12102.0
2024-02-12,42,0,False,2,0.85,1.0,1.0115,101,101,0,0,5950.0,11900.0,0.0,11900.0
2024-02-13,43,1,False,2,0.852,1.0,1.0118,94,94,0,0,5856.0,11712.0,0.0,11712.0
2024-02-14,44,2,False,2,0.855,1.0,1.0121,85,85,0,0,5771.0,11542.0,0.0,11542.0
2024-02-15,45,3,False,2,0.857,1.0,1.0123,85,85,0,0,5686.0,11372.0,0.0,11372.0
2024-02-16,46,4,False,2,0.859,1.0,1.0126,81,81,0,0,5605.0,11210.0,0.0,11210.0
2024-02-17,47,5,True,2,0.862,1.4,1.0129,110,110,0,0,5495.0,10990.0,0.0,10990.0
2024-02-18,48,6,True,2,0.864,1.4,1.0132,131,131,0,0,5364.0,10728.0,0.0,10728.0
2024-02-19,49,0,False,2,0.867,1.0,1.0134,86,86,0,0,5278.0,10556.0,0.0,10556.0
2024-02-20,50,1,False,2,0.87,1.0,1.0137,90,90,0,0,5188.0,10376.0,0.0,10376.0
2024-02-21,51,2,False,2,0.872,1.0,1.014,73,73,0,0,5115.0,10230.0,0.0,10230.0
2024-02-22,52,3,False,2,0.875,1.0,1.0142,84,84,0,0,5031.0,10062.0,0.0,10062.0
2024-02-23,53,4,False,2,0.878,1.0,1.0145,75,75,0,0,4956.0,9912.0,0.0,9912.0
2024-02-24,54,5,True,2,0.88,1.4,1.0148,128,128,0,0,4828.0,9656.0,0.0,9656.0
2024-02-25,55,6,True,2,0.883,1.4,1.0151,128,128,0,0,4700.0,9400.0,0.0,9400.0
2024-02-26,56,0,False,2,0.886,1.0,1.0153,114,114,0,0,4586.0,9172.0,0.0,9172.0
2024-02-27,57,1,False,2,0.889,1.0,1.0156,99,99,0,0,4487.0,8974.0,0.0,8974.0
2024-02-28,58,2,False,2,0.892,1.0,1.0159,90,90,0,0,4397.0,8794.0,0.0,8794.0
2024-02-29,59,3,False,2,0.895,1.0,1.0162,110,110,0,0,4287.0,8574.0,0.0,8574.0
2024-03-01,60,4,False,3,0.898,1.0,1.0164,90,90,0,0,4197.0,8394.0,0.0,8394.0
2024-03-02,61,5,True,3,0.9,1.4,1.0167,122,122,0,0,4075.0,8150.0,0.0,8150.0
2024-03-03,62,6,True,3,0.903,1.4,1.017,127,127,0,0,3948.0,7896.0,0.0,7896.0
2024-03-04,63,0,False,3,0.907,1.0,1.0173,80,80,0,0,3868.0,7736.0,0.0,7736.0
2024-03-05,64,1,False,3,0.91,1.0,1.0175,79,79,0,0,3789.0,7578.0,0.0,7578.0
2024-03-06,65,2,False,3,0.913,1.0,1.0178,86,86,0,0,3703.0,7406.0,0.0,7406.0
2024-03-07,66,3,False,3,0.916,1.0,1.0181,100,100,0,0,3603.0,7206.0,0.0,7206.0
2024-03-08,67,4,False,3,0.919,1.0,1.0184,85,85,0,0,3518.0,7036.0,0.0,7036.0
2024-03-09,68,5,True,3,0.922,1.4,1.0186,133,133,0,0,3385.0,6770.0,0.0,6770.0
2024-03-10,69,6,True,3,0.925,1.4,1.0189,144,144,0,0,3241.0,6482.0,0.0,6482.0
2024-03-11,70,0,False,3,0.928,1.0,1.0192,88,88,0,0,3153.0,6306.0,0.0,6306.0
2024-03-12,71,1,False,3,0.932,1.0,1.0195,88,88,0,0,3065.0,6130.0,0.0,6130.0
2024-03-13,72,2,False,3,0.935,1.0,1.0197,84,84,0,0,2981.0,5962.0,0.0,5962.0
2024-03-14,73,3,False,3,0.938,1.0,1.02,110,110,0,0,2871.0,5742.0,0.0,5742.0
2024-03-15,74,4,False,3,0.941,1.0,1.0203,110,110,0,0,2761.0,5522.0,0.0,5522.0
2024-03-16,75,5,True,3,0.945,1.4,1.0205,136,136,0,0,2625.0,5250.0,0.0,5250.0
2024-03-17,76,6,True,3,0.948,1.4,1.0208,145,145,0,0,2480.0,4960.0,0.0,4960.0
2024-03-18,77,0,False,3,0.951,1.0,1.0211,93,93,0,0,2387.0,4774.0,0.0,4774.0
2024-03-19,78,1,False,3,0.955,1.0,1.0214,105,105,0,0,2282.0,4564.0,0.0,4564.0
2024-03-20,79,2,False,3,0.958,1.0,1.0216,117,117,0,0,2165.0,4330.0,0.0,4330.0
2024-03-21,80,3,False,3,0.962,1.0,1.0219,85,85,0,0,2080.0,4160.0,0.0,4160.0
2024-03-22,81,4,False,3,0.965,1.0,1.0222,87,87,0,0,1993.0,3986.0,0.0,3986.0
2024-03-23,82,5,True,3,0.968,1.4,1.0225,142,142,0,0,1851.0,3702.0,0.0,3702.0
2024-03-24,83,6,True,3,0.972,1.4,1.0227,128,128,0,0,1723.0,3446.0,0.0,3446.0
2024-03-25,84,0,False,3,0.975,1.0,1.023,100,100,0,0,1623.0,3246.0,0.0,3246.0
2024-03-26,85,1,False,3,0.979,1.0,1.0233,87,87,0,0,1536.0,3072.0,0.0,3072.0
2024-03-27,86,2,False,3,0.982,1.0,1.0236,87,87,0,0,1449.0,2898.0,0.0,2898.0
2024-03-28,87,3,False,3,0.985,1.0,1.0238,107,107,0,0,1342.0,2684.0,0.0,2684.0
2024-03-29,88,4,False,3,0.989,1.0,1.0241,91,91,0,0,1251.0,2502.0,0.0,2502.0
2024-03-30,89,5,True,3,0.992,1.4,1.0244,150,150,0,0,1101.0,2202.0,0.0,2202.0
2024-03-31,90,6,True,3,0.996,1.4,1.0247,127,127,0,0,974.0,1948.0,0.0,1948.0
2024-04-01,91,0,False,4,0.999,1.0,1.0249,121,121,0,0,853.0,1706.0,0.0,1706.0
2024-04-02,92,1,False,4,1.003,1.0,1.0252,97,97,0,0,756.0,1512.0,0.0,1512.0
2024-04-03,93,2,False,4,1.006,1.0,1.0255,97,97,0,0,659.0,1318.0,0.0,1318.0
2024-04-04,94,3,False,4,1.009,1.0,1.0258,105,105,0,0,554.0,1108.0,0.0,1108.0
2024-04-05,95,4,False,4,1.013,1.0,1.026,91,91,0,0,463.0,926.0,0.0,926.0
2024-04-06,96,5,True,4,1.016,1.4,1.0263,149,149,0,0,314.0,628.0,0.0,628.0
2024-04-07,97,6,True,4,1.02,1.4,1.0266,145,145,0,0,169.0,338.0,0.0,338.0
2024-04-08,98,0,False,4,1.023,1.0,1.0268,90,90,0,0,79.0,158.0,0.0,158.0
2024-04-09,99,1,False,4,1.027,1.0,1.0271,97,97,0,2800,2782.0,5564.0,0.0,5564.0
2024-04-10,100,2,False,4,1.03,1.0,1.0274,109,109,0,0,2673.0,5346.0,0.0,5346.0
2024-04-11,101,3,False,4,1.033,1.0,1.0277,109,109,0,0,2564.0,5128.0,0.0,5128.0
2024-04-12,102,4,False,4,1.037,1.0,1.0279,103,103,0,1400,3861.0,7722.0,0.0,7722.0
